OID_,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,Disclaimer,Disclaim2,Disclaim3,Provenance,Licence,WARNINGS,Created,LastUpdate,Version,Revisions
19,South West,23,South West Water,SWB,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
20,United Utilities,34,United Utilities,UUW,regional water and sewerage company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
21,Thanet,29,Southern Water,SRN,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
22,Dŵr Cymru,7,Dŵr Cymru,WSH,regional water and sewerage company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
23,Isles of Scilly,22,South West Water,SWB,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
24,Bournemouth,20,South West Water,SWB,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
25,Essex,9,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
26,Sussex,28,Southern Water,SRN,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
27,Veolia,209,Veolia Water Projects Ltd,VWS,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
28,Anglian,4,Anglian Water,ANH,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
29,Hartlepool,5,Anglian Water,ANH,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
30,Northumbria,10,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
31,South Staffordshire,19,South Staffordshire Water,SSC,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
32,Chester,14,Severn Trent Water,SVE,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
33,SWOX plus,33,Thames Water,TMS,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
34,Sutton & East Surrey,30,SES Water,SES,regional water only company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
35,London,32,Thames Water,TMS,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
36,"Croston Road (Phase 1 and 2), Leyland",263,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
37,"Firbeck Colliery, Worksop",275,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
38,Hatfield Lane,300,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
39,"Newcomen Way (Phase 2), Telford",345,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
40,"Rockferry, Woodhey",371,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,new v1_4
